open,high,low,close,volume,adjusted_close,time
235.0,238.33333333333334,234.03336666666667,237.3067,41501279,237.3067,2021-08-27 00:00:00 Friday
238.23833333333334,243.66666666666666,237.57666666666668,243.6367,55812661,243.6367,2021-08-30 00:00:00 Monday
244.33333333333334,246.79666666666665,242.14666666666668,245.24,62566315,245.24,2021-08-31 00:00:00 Tuesday
244.69333333333336,247.33,243.7567,244.6967,39613019,244.6967,2021-09-01 00:00:00 Wednesday
244.83333333333334,246.99,243.51333333333332,244.13,38390219,244.13,2021-09-02 00:00:00 Thursday
244.083,244.66666666666666,241.4,244.5233,45813149,244.5233,2021-09-03 00:00:00 Friday
246.66666666666666,253.4,246.42,250.9733,60119488,250.9733,2021-09-07 00:00:00 Tuesday
253.86,254.8166666666667,246.92443333333333,251.29,56379115,251.29,2021-09-08 00:00:00 Wednesday
251.13666666666666,254.03333333333333,250.54336666666666,251.62,42233189,251.62,2021-09-09 00:00:00 Thursday
253.20000000000002,254.20333333333335,244.8400333333333,245.4233,45552509,245.4233,2021-09-10 00:00:00 Friday
246.73800000000003,248.26,236.28333333333333,247.6667,68857438,247.6667,2021-09-13 00:00:00 Monday
247.52333333333334,251.49,245.46666666666667,248.1633,55574641,248.1633,2021-09-14 00:00:00 Tuesday
248.33333333333334,252.28666666666666,246.12,251.9433,46073069,251.9433,2021-09-15 00:00:00 Wednesday
250.94333333333336,252.97,249.20333333333335,252.33,41770169,252.33,2021-09-16 00:00:00 Thursday
252.38333333333333,253.67999999999998,250.0,253.1633,84612538,253.1633,2021-09-17 00:00:00 Friday
244.85256666666666,247.33333333333334,239.54163333333335,243.39,74272942,243.39,2021-09-20 00:00:00 Monday
244.92999999999998,248.24663333333334,243.48000000000002,246.46,48992159,246.46,2021-09-21 00:00:00 Tuesday
247.8421,251.2233,246.37333333333333,250.6467,45378809,250.6467,2021-09-22 00:00:00 Wednesday
251.66666666666666,252.73333333333335,249.30666666666664,251.2133,35842589,251.2133,2021-09-23 00:00:00 Thursday
248.63,258.26666666666665,248.18666666666664,258.13,64119058,258.13,2021-09-24 00:00:00 Friday
257.70666666666665,266.3333333333333,256.43666666666667,263.7867,84211978,263.7867,2021-09-27 00:00:00 Monday
262.40003333333334,265.2133333333333,255.39336666666668,259.1867,76144258,259.1867,2021-09-28 00:00:00 Tuesday
